# H	I
31.9943818181818      0.344198024607392
36.1259909090909      0.330486887259891
35.5796636363636      0.330184782947092
35.5796636363636      0.333462093871461
37.0820636363636      0.333749845335683
35.9211181818182      0.343532932124118
36.3650090909091      0.337386208972047
36.1601363636364      0.33696812438284
36.2967181818182      0.344445032501459
36.3308636363636      0.333403061994248
37.0137727272727      0.344658936244774
35.4430818181818      0.350622401140565
36.1942818181818      0.337386208972047
35.2723545454545      0.337255875847061
35.6479545454546      0.333749845335683
35.9552636363636      0.340461973333078
35.3747909090909      0.340014632242182
36.6723181818182      0.3375741849889
36.8430454545455      0.327126005717191
35.7845363636364      0.330444060211716
36.6381727272727      0.326736395327581
36.8771909090909      0.337645486236672
34.5211545454545      0.340879970112867
37.3210818181818      0.340378402714748
35.7845363636364      0.330372758963945
38.0722818181818      0.336884641573928
30.4578272727273      0.333721371136086
34.0089636363636      0.337314907724275
32.9504545454545      0.3338971655918
33.2577636363636      0.323518116280425
36.9796272727273      0.336537858232492
37.3552272727273      0.337386208972047
33.1553272727273      0.333838133714586
33.7016545454545      0.330042180451548
34.1114      0.34739185272285
33.3943454545455      0.343867446094995
33.6333636363636      0.340708981227145
29.3310272727273      0.326795427204795
33.5992181818182      0.344014766351112
38.7210454545455      0.334068154477522
39.0283545454546      0.334009122600308
35.2040545454545      0.330431790841158
38.9259181818182      0.340708981227145
39.1990818181818      0.33050309208893
39.0283545454545      0.333248277937564
34.4187090909091      0.330431790841158
37.2527909090909      0.336884641573928
39.5063909090909      0.326624438319072
39.9844272727273      0.330444060211716
38.6527545454545      0.341027290368983
40.1551545454545      0.333578856449961
39.7454090909091      0.330260801955436
40.1210090909091      0.330289276155033
39.7112636363636      0.337533529228163
41.0087909090909      0.337419400932217
38.5503181818182      0.330260801955436
37.2527818181818      0.340625498418233
39.5746818181818      0.34441664611128
40.3600272727273      0.333854338543625
39.6088272727273      0.330260801955436
40.6331909090909      0.333954026181575
40.4283181818182      0.339960405934959
41.2819545454545      0.34105576456858
39.5746818181818      0.333077289051842
39.6771181818182      0.334172647685463
41.7258454545455      0.329942492813597
36.2625636363636      0.340337746954011
35.3064909090909      0.333854338543625
37.6283818181818      0.333566587079403
37.3210727272727      0.339948136564401
42.5453363636364      0.343767758457045
41.1795181818182      0.330436596411149
36.1942727272727      0.340668325466408
39.0966363636364      0.326652912518669
41.5892636363636      0.337638022436105
41.6575545454546      0.330289276155033
41.2819545454545      0.340597024218636
43.8428636363636      0.329716407509142
43.0916636363636      0.340668325466408
42.7502090909091      0.330607585296872
43.0916636363636      0.336642351440434
44.5257727272727      0.333854338543625
42.9550818181818      0.33339559819368
43.8087181818182      0.326840888535523
42.3746090909091      0.337031961830044
43.6379909090909      0.3305362840491
41.0429272727273      0.32951222666325
45.0379545454546      0.336989134781869
44.9013727272727      0.333578856449961
45.4477      0.337307443923708
43.9453      0.32951222666325
45.4135545454546      0.337236142675936
46.1647545454545      0.332818011787217
42.4429      0.336917833534098
45.9257363636364      0.326983491031066
45.5842818181818      0.33339559819368
46.5745      0.330289276155033
42.5111818181818      0.343859982294428
45.3111181818182      0.323406159271916
47.0183909090909      0.340337746954011
47.9061727272727      0.333424072393278
42.7502      0.329830535805089
43.3648181818182      0.330824035513322
47.8037363636364      0.334001658799741
48.7256636363636      0.326686104478839
47.6671545454545      0.334001658799741
48.1110454545455      0.333424072393278
47.7695909090909      0.330436596411149
49.7500272727273      0.340625498418233
47.5647181818182      0.337638022436105
49.6475909090909      0.337523894140158
49.3744272727273      0.337319713294266
43.6038272727273      0.330177319146524
45.7208545454545      0.322700411027905
46.9159454545455      0.333958831751566
49.7841727272727      0.322771712275677
51.1158454545455      0.340976999520241
51.6280272727273      0.326871534022557
52.1060636363636      0.327075714868449
52.6865363636364      0.333424072393278
52.9255545454546      0.337136455037986
53.7450454545455      0.333093493880881
53.8133363636364      0.329863727765258
54.3938090909091      0.333528565601219
53.9499272727273      0.343016437124864
54.7352909090909      0.330322468115203
56.3401636363636      0.333500091401622
54.3255909090909      0.333958831751566
55.8962727272727      0.337136455037986
59.1742636363636      0.32358195372763
61.0864181818182      0.326298665376666
59.0718272727273      0.3272921650849
66.2082363636364      0.337136455037986
70.4764181818182      0.323439351232086
73.9251090909091      0.319527505502058
77.4079454545454      0.32308038632951
80.9932181818182      0.320133566108119
85.6028545454545      0.326255838328492
87.8223      0.320276168603663
96.9392363636364      0.317174564325588
102.5391      0.312932140083163
108.753572727273      0.316672996927469
111.655927272727      0.30580201530598
117.4948      0.306165785778546
128.660372727273      0.302165651669616
133.031063636364      0.303090021417515
141.294290909091      0.298600589281024
149.318472727273      0.292901119410432
156.420727272727      0.292076525109901
162.601054545455      0.306082215160216
168.849763636364      0.299206649887085
176.0886      0.299178175687488
186.571263636364      0.295641587498493
190.771154545455      0.292511509020821
199.580681818182      0.288758470615376
204.053818181818      0.292511509020821
212.760909090909      0.288903619584055
216.482763636364      0.285310082995866
227.136154545455      0.274747775428211
234.989609090909      0.274973860732666
249.023490909091      0.28566913570786
256.228190909091      0.27921628497509
263.330445454545      0.281961470823724
273.232627272727      0.272116717875523
282.315390909091      0.282351081213335
290.066436363636      0.268768105703381
294.812645454545      0.264240564279288
