H,Juan_C0-Hys-a000-RT.VHD,H,Juan_C0-Hys-a090-RT.VHD,H,Juan_C0-Hys-a180-RT.VHD
179.000000E+0,825.504500E-6,179.000000E+0,859.503500E-6,180.000000E+0,731.356100E-6
189.000000E+0,828.208100E-6,189.000000E+0,859.601200E-6,190.000000E+0,731.348500E-6
199.000000E+0,828.734700E-6,199.000000E+0,860.875100E-6,199.000000E+0,733.581700E-6
219.000000E+0,829.818900E-6,219.000000E+0,861.061000E-6,219.000000E+0,733.491600E-6
239.000000E+0,829.590300E-6,239.000000E+0,860.620300E-6,239.000000E+0,733.406300E-6
259.000000E+0,829.752600E-6,259.000000E+0,861.461400E-6,259.000000E+0,734.472800E-6
279.000000E+0,830.065500E-6,279.000000E+0,863.701600E-6,279.000000E+0,734.712400E-6
299.000000E+0,831.432300E-6,299.000000E+0,862.923100E-6,299.000000E+0,735.961000E-6
319.000000E+0,831.959700E-6,319.000000E+0,862.526800E-6,319.000000E+0,733.051200E-6
339.000000E+0,831.276200E-6,339.000000E+0,863.474300E-6,339.000000E+0,735.423500E-6
359.000000E+0,832.584800E-6,359.000000E+0,864.461500E-6,359.000000E+0,734.695200E-6
379.000000E+0,832.917500E-6,379.000000E+0,863.924400E-6,379.000000E+0,735.176000E-6
399.000000E+0,833.109400E-6,399.000000E+0,863.421500E-6,399.000000E+0,735.052400E-6
419.000000E+0,833.080000E-6,419.000000E+0,865.469600E-6,419.000000E+0,736.575400E-6
439.000000E+0,832.998700E-6,439.000000E+0,864.896300E-6,439.000000E+0,734.343300E-6
459.000000E+0,832.958900E-6,459.000000E+0,865.009800E-6,459.000000E+0,734.880700E-6
479.000000E+0,833.344600E-6,479.000000E+0,864.100400E-6,479.000000E+0,734.874600E-6
499.000000E+0,832.016800E-6,499.000000E+0,864.804100E-6,499.000000E+0,736.486900E-6
548.000000E+0,834.627700E-6,549.000000E+0,864.912500E-6,549.000000E+0,736.265600E-6
599.000000E+0,833.550300E-6,598.000000E+0,865.175300E-6,599.000000E+0,734.404400E-6
648.000000E+0,833.757800E-6,649.000000E+0,863.700800E-6,649.000000E+0,733.852900E-6
698.000000E+0,832.970600E-6,698.000000E+0,863.300300E-6,699.000000E+0,734.159900E-6
749.000000E+0,831.475000E-6,748.000000E+0,864.210200E-6,749.000000E+0,733.789000E-6
799.000000E+0,832.529300E-6,799.000000E+0,864.134700E-6,799.000000E+0,734.316600E-6
849.000000E+0,831.213000E-6,848.000000E+0,863.353900E-6,849.000000E+0,731.584400E-6
899.000000E+0,832.098300E-6,899.000000E+0,862.019300E-6,899.000000E+0,732.420600E-6
949.000000E+0,831.765500E-6,949.000000E+0,863.246700E-6,949.000000E+0,731.274000E-6
999.000000E+0,830.583000E-6,999.000000E+0,862.533600E-6,999.000000E+0,730.541500E-6
949.000000E+0,831.187200E-6,949.000000E+0,863.472800E-6,950.000000E+0,731.619700E-6
899.000000E+0,832.748500E-6,899.000000E+0,864.224400E-6,899.000000E+0,732.664900E-6
849.000000E+0,833.025900E-6,849.000000E+0,864.698200E-6,849.000000E+0,731.673500E-6
799.000000E+0,832.702900E-6,799.000000E+0,864.617800E-6,800.000000E+0,733.751300E-6
749.000000E+0,833.953100E-6,749.000000E+0,866.336500E-6,749.000000E+0,733.605500E-6
699.000000E+0,833.317300E-6,699.000000E+0,866.849100E-6,699.000000E+0,734.545600E-6
649.000000E+0,835.555900E-6,649.000000E+0,866.815800E-6,649.000000E+0,734.711200E-6
599.000000E+0,834.438400E-6,599.000000E+0,867.100100E-6,599.000000E+0,735.653500E-6
549.000000E+0,834.895100E-6,549.000000E+0,868.119700E-6,549.000000E+0,736.843800E-6
499.000000E+0,835.846200E-6,499.000000E+0,869.112500E-6,499.000000E+0,736.421300E-6
480.000000E+0,835.349600E-6,480.000000E+0,867.931200E-6,479.000000E+0,737.421500E-6
459.000000E+0,836.031300E-6,460.000000E+0,868.054700E-6,460.000000E+0,737.538900E-6
440.000000E+0,834.472600E-6,440.000000E+0,868.452700E-6,440.000000E+0,737.318800E-6
420.000000E+0,836.135700E-6,420.000000E+0,869.086300E-6,420.000000E+0,738.616300E-6
400.000000E+0,835.818800E-6,400.000000E+0,868.225600E-6,399.000000E+0,735.584900E-6
380.000000E+0,835.245900E-6,380.000000E+0,867.213900E-6,380.000000E+0,737.096000E-6
360.000000E+0,834.605000E-6,360.000000E+0,867.617700E-6,359.000000E+0,738.437700E-6
340.000000E+0,834.387400E-6,340.000000E+0,866.759000E-6,339.000000E+0,737.104900E-6
320.000000E+0,836.077300E-6,320.000000E+0,866.796800E-6,319.000000E+0,736.159200E-6
299.000000E+0,836.783000E-6,299.000000E+0,867.263000E-6,299.000000E+0,737.283100E-6
280.000000E+0,835.216900E-6,280.000000E+0,868.192700E-6,280.000000E+0,737.929900E-6
260.000000E+0,833.963300E-6,259.000000E+0,866.528900E-6,260.000000E+0,736.820800E-6
239.000000E+0,834.127500E-6,239.000000E+0,866.601000E-6,240.000000E+0,737.278600E-6
219.000000E+0,834.590000E-6,220.000000E+0,865.793600E-6,220.000000E+0,736.780900E-6
200.000000E+0,833.504000E-6,199.000000E+0,866.106500E-6,200.000000E+0,737.923500E-6
190.000000E+0,832.924900E-6,189.000000E+0,866.400600E-6,190.000000E+0,736.913800E-6
180.000000E+0,835.042600E-6,180.000000E+0,865.800200E-6,180.000000E+0,737.260700E-6
169.000000E+0,833.160100E-6,169.000000E+0,865.114400E-6,170.000000E+0,736.408500E-6
160.000000E+0,832.558300E-6,160.000000E+0,864.983100E-6,160.000000E+0,736.199400E-6
150.000000E+0,833.411700E-6,149.000000E+0,865.269700E-6,150.000000E+0,736.869700E-6
140.000000E+0,832.648900E-6,140.000000E+0,863.619300E-6,140.000000E+0,736.376300E-6
130.000000E+0,832.329200E-6,130.000000E+0,864.134800E-6,130.000000E+0,735.054800E-6
120.000000E+0,832.117500E-6,120.000000E+0,863.579500E-6,120.000000E+0,734.497100E-6
110.000000E+0,831.373300E-6,110.000000E+0,861.743500E-6,110.000000E+0,734.711800E-6
100.000000E+0,830.302100E-6,100.000000E+0,862.302000E-6,100.000000E+0,733.159200E-6
98.000000E+0,830.403400E-6,98.000000E+0,861.754900E-6,98.000000E+0,734.278500E-6
96.000000E+0,829.156300E-6,96.000000E+0,860.664500E-6,96.000000E+0,732.746300E-6
94.000000E+0,830.248200E-6,94.000000E+0,858.244900E-6,94.000000E+0,732.761900E-6
92.000000E+0,829.577100E-6,92.000000E+0,859.818900E-6,92.000000E+0,733.329800E-6
90.000000E+0,828.245300E-6,90.000000E+0,860.233400E-6,90.000000E+0,734.348800E-6
88.000000E+0,827.679700E-6,88.000000E+0,860.670000E-6,88.000000E+0,732.077200E-6
86.000000E+0,827.649000E-6,86.000000E+0,859.868900E-6,86.000000E+0,732.332600E-6
84.000000E+0,826.822700E-6,84.000000E+0,858.499600E-6,84.000000E+0,733.401800E-6
82.000000E+0,827.224000E-6,82.000000E+0,859.736300E-6,82.000000E+0,732.697400E-6
80.000000E+0,827.750600E-6,80.000000E+0,859.958500E-6,80.000000E+0,732.787700E-6
